j,psi,blm_firm_type
940,0.401559144923965,2
941,-0.0237509000702634,2
942,0.256548870471269,9
943,0.926593835432999,1
944,0.734295210165852,6
945,-0.0609921773421325,9
946,0.339132193128839,9
947,0.305732639114118,9
948,-0.0788183898298653,8
949,-0.575657887002515,7
950,-0.20901576120425,2
951,0.18240097051848,2
952,0.363895562539492,1
953,-0.207615551025342,2
954,-0.111517525263993,2
955,-0.246584756809445,7
956,-0.877274591554104,5
957,-0.441341111045077,3
958,0.0913061249750856,9
959,-0.144322377945184,3
960,-0.203073436631441,2
961,-0.24666174803248,9
962,-0.555895436490506,3
963,0.444439793397616,4
964,0.142919603918269,2
965,-0.704833582107041,5
966,-0.457954203161054,8
967,0.117832380103079,9
968,-0.367272436631595,8
969,-0.261904028644885,8
970,0.00037973999451571,2
971,0.245010004710693,9
972,0.10432111306523,9
973,0.531340514644529,4
974,-0.191428607961127,8
975,-0.59192097582996,7
976,0.173612024920523,1
977,-0.125981102899674,8
978,-0.24629008499415,8
979,-0.0795139139582677,2
980,1.37851846457359,6
981,-1.0262232729137,0
982,0.0278287080272808,2
983,-0.174702226051927,9
984,-0.330056863682266,2
985,-0.0308319724336151,9
986,-0.365187851468693,2
987,-0.802190916436023,5
988,-0.731651392457667,5
989,0.0205837367442486,1
990,0.786187000384492,6
991,-0.158756390739288,7
992,0.369750059026803,2
993,0.206613106004917,8
994,-0.152378160215579,2
995,0.833922817985082,6
996,0.553726605749344,4
997,-0.179123833703732,8
998,0.470160887931226,9
999,0.102638892448174,7
